id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts5136,1983,26,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",5,7.9,7939
ts31643,2004,45,"['documentation', 'european']",1,8.6,14493
ts22073,2007,48,"['documentation', 'european']",2,8.6,1511
ts58149,2017,21,"['comedy', 'reality', 'music']",5,5.6,382
ts224087,2020,37,"['drama', 'comedy', 'sport']",3,8.8,233075
ts89568,2019,29,"['drama', 'thriller', 'horror']",4,7.5,39500
ts89431,2019,61,"['drama', 'scifi', 'war']",3,8.0,46741
ts287697,2020,27,['comedy'],3,7.8,27797
ts81645,2019,45,"['drama', 'thriller', 'crime']",3,7.1,14678
ts222358,2019,57,"['drama', 'comedy']",3,8.3,106110
ts82316,2019,54,"['scifi', 'action', 'drama']",3,7.6,87974
ts235964,2020,51,"['action', 'scifi', 'drama', 'fantasy']",1,6.3,6443
ts237817,2020,46,"['drama', 'action', 'crime', 'thriller']",2,7.6,20021
ts81913,2020,34,"['drama', 'comedy']",2,7.6,3555
ts285617,2020,29,"['comedy', 'drama', 'romance']",3,7.9,9220
ts317072,2019,31,"['comedy', 'drama', 'romance']",3,7.6,17140
ts89301,2020,51,"['drama', 'thriller', 'crime']",1,7.8,57859
ts112498,2020,24,"['animation', 'comedy']",3,6.9,3942
ts224872,2020,34,['documentation'],2,7.5,853
ts128408,2020,45,"['crime', 'drama', 'thriller']",2,7.5,11261
ts222361,2019,25,"['scifi', 'action', 'family', 'fantasy']",3,5.7,995
ts251860,2020,47,"['documentation', 'reality']",1,8.2,4658
ts252837,2020,30,['documentation'],2,8.9,2306
ts221425,2019,32,[],1,4.7,143
ts223910,2020,62,"['documentation', 'history']",1,8.3,1192
ts237958,2020,6,"['documentation', 'sport']",2,4.7,374
ts237884,2020,48,"['drama', 'romance', 'thriller']",1,6.6,1827
ts251727,2020,40,['documentation'],1,3.2,345
ts236744,2020,6,['family'],1,6.3,144
ts255160,2020,29,['documentation'],2,8.2,1463
ts256068,2020,0,"['animation', 'family']",3,8.3,484
ts109866,2020,30,"['drama', 'music', 'romance', 'comedy']",1,7.2,2550
ts216684,2019,8,"['animation', 'scifi', 'comedy', 'family']",2,7.6,727
ts216818,2020,31,['documentation'],2,7.0,371
ts252865,2020,41,['documentation'],1,7.9,442
ts215388,2019,16,"['family', 'music', 'comedy']",3,6.8,213
ts233254,2020,20,"['animation', 'family']",2,7.1,82
ts235703,2020,22,[],1,2.7,119
ts237068,2020,3,['family'],1,6.1,19
ts320458,2022,48,"['drama', 'scifi', 'thriller']",2,8.7,141086
ts131317,2022,48,"['drama', 'thriller', 'comedy']",3,7.9,38504
ts343661,2022,58,"['drama', 'crime', 'thriller']",1,8.1,71414
ts313110,2022,53,"['thriller', 'comedy', 'drama']",2,8.3,21854
ts297165,2021,55,"['drama', 'scifi']",2,7.4,62754
ts251336,2022,58,"['drama', 'action', 'thriller']",1,6.5,7783
ts106816,2022,55,['drama'],2,8.4,9509
ts221142,2021,47,"['drama', 'action', 'thriller']",2,6.8,14137
ts200606,2022,52,"['action', 'crime', 'drama', 'thriller']",1,7.5,11865
ts238623,2022,53,['drama'],1,7.3,16843
ts346042,2022,27,['comedy'],1,6.7,8310
ts288676,2021,46,['comedy'],2,7.1,1934
ts251564,2022,35,"['thriller', 'comedy', 'crime']",2,7.2,13154
ts224998,2021,30,"['comedy', 'fantasy', 'romance']",2,7.3,10366
ts309881,2021,29,['comedy'],2,7.7,5337
ts253142,2022,47,['drama'],1,7.7,11421
ts343868,2022,41,"['documentation', 'history', 'animation']",1,8.5,8392
ts251525,2022,49,"['drama', 'scifi', 'thriller', 'crime']",1,7.4,15871
ts289342,2021,51,"['scifi', 'drama', 'fantasy']",1,6.0,29189
ts314448,2022,32,"['drama', 'comedy']",2,5.6,2739
ts272733,2022,40,"['documentation', 'sport']",2,7.8,257
ts252747,2022,48,"['drama', 'history', 'fantasy']",1,6.3,6056
ts296186,2022,0,"['drama', 'thriller']",1,6.3,3962
ts236914,2021,43,"['drama', 'comedy']",1,7.1,13717
ts286752,2022,54,"['drama', 'thriller', 'crime']",1,5.6,845
ts273314,2021,29,"['drama', 'comedy']",2,7.3,9972
ts360077,2022,0,['documentation'],1,4.0,1020
ts271337,2022,52,['drama'],1,7.8,4887
ts226608,2022,46,"['drama', 'crime', 'thriller']",1,6.2,8268
