id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts300399,1945,51,['documentation'],1,0.0,0,netflix
ts22164,1969,30,"['comedy', 'european']",4,8.8,75654,netflix
ts45948,1972,43,['comedy'],1,8.1,2199,netflix
ts20681,1989,24,['comedy'],9,8.9,326487,netflix
ts21715,1984,10,"['animation', 'family', 'fantasy', 'music', 'drama', 'comedy', 'action', 'war']",24,6.5,5528,netflix
ts2760,1987,10,"['comedy', 'animation', 'family', 'crime', 'european']",13,6.1,1875,netflix
ts987,1981,14,"['animation', 'comedy', 'family', 'scifi', 'action', 'european']",10,7.4,3678,netflix
ts20981,2000,48,['reality'],44,7.5,25709,netflix
ts20339,1999,23,"['action', 'comedy', 'animation', 'scifi', 'fantasy', 'drama']",21,8.9,133488,netflix
ts21223,1997,22,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'family']",25,7.4,224,netflix
ts21567,2000,46,"['comedy', 'drama']",8,8.2,131967,netflix
ts34435,1998,25,"['scifi', 'western', 'action', 'thriller', 'animation', 'comedy', 'drama']",1,8.9,123834,netflix
ts20983,1995,24,"['scifi', 'animation', 'action', 'fantasy', 'thriller', 'drama']",1,8.5,73413,netflix
ts21321,1992,32,"['reality', 'comedy', 'animation', 'documentation', 'drama']",33,6.3,28,netflix
ts20960,1993,22,"['action', 'scifi', 'family', 'fantasy', 'animation']",29,6.5,23091,netflix
ts6236,2000,43,['reality'],24,5.5,10811,netflix
ts22193,1994,26,"['animation', 'comedy', 'family', 'fantasy', 'scifi']",4,7.8,10291,netflix
ts21034,2000,25,"['animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'scifi']",9,7.9,16790,netflix
ts25252,1998,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7,7.3,21954,netflix
ts11397,1993,22,"['scifi', 'action', 'comedy', 'western', 'family', 'animation', 'fantasy']",4,6.2,4035,netflix
ts27693,1996,25,"['family', 'comedy']",4,7.8,16037,netflix
ts21581,2000,21,"['drama', 'comedy']",8,7.4,4715,netflix
ts22039,1998,25,['comedy'],4,7.4,1803,netflix
ts16919,1994,24,"['comedy', 'family', 'music']",11,7.5,7913,netflix
ts21684,1994,45,"['drama', 'romance']",7,7.8,3341,netflix
ts25249,1998,20,"['family', 'fantasy', 'music', 'comedy', 'european']",10,8.0,165,netflix
ts22286,1998,25,"['scifi', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation']",4,8.0,5234,netflix
ts28516,2000,40,"['drama', 'crime']",1,9.0,2630,netflix
ts20918,1999,19,['comedy'],5,6.9,2486,netflix
ts20939,1996,21,"['drama', 'family', 'comedy']",6,5.8,3899,netflix
ts21693,1994,22,"['comedy', 'drama', 'family']",6,6.3,13054,netflix
ts8570,1992,29,"['comedy', 'family']",14,3.9,7883,netflix
ts251477,1991,18,['reality'],12,0.0,0,netflix
ts224786,1991,44,['drama'],1,0.0,0,netflix
ts4,2008,48,"['drama', 'comedy', 'crime', 'thriller']",5,9.5,1936461,netflix
ts9,2010,46,"['action', 'drama', 'horror', 'thriller']",11,8.1,1013253,netflix
ts21469,2005,48,"['drama', 'romance']",19,7.6,316260,netflix
ts17156,2003,28,['comedy'],5,8.7,309568,netflix
ts8308,2009,23,['comedy'],6,8.5,271794,netflix
ts22337,2003,43,"['thriller', 'comedy', 'action', 'crime', 'drama']",20,7.7,137745,netflix
ts3371,2005,24,"['animation', 'action', 'family', 'fantasy']",3,9.3,324247,netflix
ts21465,2005,45,"['drama', 'scifi', 'thriller', 'fantasy', 'horror']",15,8.4,453184,netflix
ts20371,2002,58,"['comedy', 'reality', 'european', 'music']",33,8.7,120892,netflix
ts288536,2010,58,"['reality', 'european']",13,8.6,11204,netflix
ts20604,2006,43,"['drama', 'sport']",5,8.7,68182,netflix
ts20573,2006,25,"['comedy', 'european']",5,8.5,155675,netflix
ts5716,2001,48,"['reality', 'family', 'action']",34,7.8,14888,netflix
ts22011,2007,44,"['drama', 'family']",16,8.5,17597,netflix
ts11313,2006,24,"['animation', 'drama', 'fantasy', 'thriller', 'crime']",1,9.0,334730,netflix
ts31787,2004,23,"['drama', 'crime', 'thriller', 'animation']",1,8.7,33682,netflix
ts20305,2002,23,"['action', 'scifi', 'comedy', 'animation', 'fantasy', 'thriller']",6,8.4,107461,netflix
ts34569,2007,22,"['animation', 'thriller', 'scifi', 'horror', 'fantasy']",1,8.3,2437,netflix
ts17942,2003,21,"['comedy', 'music']",3,8.8,66715,netflix
ts327,2010,46,"['scifi', 'documentation', 'fantasy', 'history']",19,8.1,21,netflix
ts31263,2001,47,['reality'],5,7.7,1269,netflix
ts15349,2010,46,"['reality', 'documentation']",31,7.0,7997,netflix
ts12787,2006,24,"['scifi', 'action', 'animation', 'drama', 'thriller', 'war', 'fantasy']",3,8.7,62367,netflix
ts20640,2009,25,"['reality', 'comedy', 'documentation', 'drama']",21,7.2,17171,netflix
ts21511,2010,22,"['comedy', 'scifi', 'animation', 'drama', 'music', 'family', 'fantasy']",9,7.7,21497,netflix
ts29186,2006,23,"['reality', 'drama', 'music']",6,3.7,11389,netflix
ts6644,2010,58,"['drama', 'european']",4,8.5,27693,netflix
ts21544,2010,22,"['action', 'scifi', 'animation', 'comedy', 'drama', 'family']",4,7.9,7180,netflix
ts22018,2007,26,"['family', 'comedy', 'romance']",6,6.7,41021,netflix
ts22456,2004,25,"['comedy', 'family']",3,7.4,18499,netflix
ts27541,2005,51,['documentation'],24,0.0,0,netflix
ts31820,2004,23,"['reality', 'drama']",4,4.8,3917,netflix
ts19036,2001,23,"['comedy', 'scifi', 'family', 'fantasy', 'animation']",10,7.2,38046,netflix
ts23752,2009,27,"['comedy', 'drama']",5,8.6,2601,netflix
ts26091,2004,49,"['crime', 'documentation', 'drama']",2,7.8,21531,netflix
ts38488,2003,43,"['drama', 'romance']",2,7.8,2632,netflix
ts30311,2010,24,"['comedy', 'family', 'romance', 'drama', 'music', 'sport']",4,7.0,26452,netflix
ts22267,2001,25,"['comedy', 'crime']",12,8.6,45813,netflix
ts22005,2007,23,"['animation', 'drama', 'family', 'action', 'comedy']",6,7.4,11992,netflix
ts32186,2003,21,"['action', 'family', 'animation', 'comedy', 'fantasy', 'scifi', 'drama', 'thriller']",3,6.2,5003,netflix
ts22318,2004,23,"['scifi', 'action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",8,6.2,6700,netflix
ts21464,2005,25,"['drama', 'comedy', 'romance', 'family']",4,6.1,16416,netflix
ts52881,2009,22,"['drama', 'comedy', 'animation', 'music', 'romance']",2,7.8,4300,netflix
ts1413,2009,58,"['drama', 'romance']",1,7.9,530,netflix
ts24028,2002,29,"['comedy', 'european']",9,8.9,8365,netflix
ts21740,2008,25,"['animation', 'comedy', 'drama', 'thriller', 'scifi', 'fantasy', 'crime', 'action', 'horror']",3,8.2,1997,netflix
ts21688,2009,64,"['comedy', 'drama', 'romance']",1,7.8,12768,netflix
ts26322,2008,30,"['animation', 'romance', 'comedy', 'drama']",2,8.0,16549,netflix
ts20544,2006,23,"['comedy', 'drama', 'animation', 'romance']",1,8.2,10614,netflix
ts14102,2007,22,['animation'],4,4.3,136,netflix
ts178360,2010,44,"['thriller', 'war', 'action', 'crime', 'horror']",1,6.7,243,netflix
ts12701,2003,24,"['scifi', 'comedy', 'action', 'fantasy', 'thriller', 'animation', 'family', 'romance']",5,7.3,5361,netflix
ts20526,2006,22,"['drama', 'comedy', 'romance', 'sport']",10,6.8,4597,netflix
ts21664,2001,20,['comedy'],5,7.1,2401,netflix
ts34414,2007,44,['comedy'],1,7.2,236,netflix
ts21706,2006,25,"['drama', 'scifi', 'family', 'fantasy']",3,7.2,16221,netflix
ts74928,2009,44,"['documentation', 'history', 'war', 'european']",1,7.6,682,netflix
ts12444,2010,59,['drama'],1,7.3,106,netflix
ts1464,2008,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",2,8.0,804,netflix
ts27459,2008,45,"['action', 'drama']",1,7.0,1422,netflix
ts911,2010,40,['reality'],10,3.6,728,netflix
ts20535,2009,18,"['animation', 'comedy', 'family', 'european']",5,5.4,2791,netflix
ts20358,2002,21,['comedy'],4,7.1,1954,netflix
ts12815,2009,25,"['comedy', 'drama', 'family', 'music']",4,6.4,13027,netflix
ts21421,2005,9,"['animation', 'comedy', 'family', 'european']",4,4.0,99,netflix
ts23797,2009,37,"['action', 'comedy', 'sport', 'crime']",3,7.6,334,netflix
ts67595,2001,44,"['comedy', 'drama']",1,7.5,365,netflix
ts23835,2009,6,"['animation', 'comedy', 'family', 'action']",5,7.5,3381,netflix
ts20398,2002,24,['comedy'],4,8.4,4609,netflix
ts3666,2007,25,"['scifi', 'comedy', 'drama', 'animation']",1,7.8,936,netflix
ts21967,2005,18,"['animation', 'drama', 'action', 'comedy', 'family', 'scifi']",6,5.1,8694,netflix
ts1893,2009,14,"['comedy', 'family', 'fantasy', 'animation', 'european']",3,7.4,1375,netflix
ts98353,2009,26,"['animation', 'family']",1,6.2,27,netflix
ts30356,2010,15,"['animation', 'action', 'comedy', 'family']",7,7.6,1207,netflix
ts17028,2007,21,"['action', 'scifi', 'comedy', 'animation', 'family', 'western']",2,5.8,792,netflix
ts38159,2008,22,"['scifi', 'animation', 'action', 'drama', 'family', 'fantasy', 'european']",3,8.1,1645,netflix
ts56589,2010,11,"['animation', 'comedy', 'family']",6,5.3,165,netflix
ts31593,2003,10,"['family', 'animation', 'action', 'scifi', 'comedy', 'fantasy']",7,6.4,104,netflix
ts21695,2009,61,"['drama', 'action', 'comedy', 'reality', 'romance', 'thriller']",2,7.8,1951,netflix
ts18653,2008,22,"['action', 'animation', 'comedy']",12,4.4,995,netflix
ts63295,2006,72,['drama'],1,8.7,1109,netflix
ts44053,2009,46,['war'],3,0.0,0,netflix
ts4866,2008,67,"['drama', 'comedy', 'romance']",1,7.4,510,netflix
ts70843,2005,44,"['drama', 'romance', 'comedy']",1,6.8,148,netflix
ts29199,2006,56,"['animation', 'comedy']",1,7.9,455,netflix
ts42914,2010,7,"['comedy', 'family', 'fantasy', 'romance', 'action', 'animation', 'european']",3,6.8,742,netflix
ts72322,2009,43,"['drama', 'action']",2,6.5,322,netflix
ts74931,2008,0,"['action', 'family', 'animation', 'comedy']",1,7.0,101,netflix
ts44663,2010,10,"['animation', 'drama', 'comedy', 'european']",1,7.4,638,netflix
ts121176,2010,24,"['animation', 'comedy', 'family', 'fantasy', 'horror', 'music', 'scifi']",1,6.5,427,netflix
ts23808,2009,55,"['documentation', 'comedy']",1,8.1,1822,netflix
ts39604,2006,48,['drama'],1,7.3,50,netflix
ts40702,2009,44,['drama'],1,5.4,6,netflix
ts8614,2010,44,"['drama', 'action']",1,6.7,8,netflix
ts204466,2002,0,"['romance', 'comedy', 'drama']",1,8.5,201,netflix
ts188031,2007,15,"['romance', 'drama', 'comedy']",1,6.2,5,netflix
ts29581,2010,44,"['action', 'drama', 'thriller']",2,8.0,25,netflix
ts95855,2002,30,['drama'],1,0.0,0,netflix
ts160526,2005,19,"['reality', 'scifi', 'family']",11,9.5,3207,netflix
ts20660,2011,54,"['drama', 'comedy']",11,8.6,248907,netflix
ts278,2011,59,"['scifi', 'drama', 'thriller', 'european']",5,8.8,560631,netflix
ts8175,2012,57,"['drama', 'history', 'european']",12,8.6,28078,netflix
ts20564,2011,21,"['comedy', 'romance']",7,7.8,229926,netflix
ts17598,2012,42,"['drama', 'action', 'crime', 'scifi']",8,7.5,435150,netflix
ts20436,2012,22,"['comedy', 'action']",5,8.3,23166,netflix
ts21580,2012,53,"['western', 'drama', 'action', 'crime']",6,8.3,36835,netflix
ts32835,2011,23,"['action', 'drama', 'animation', 'comedy', 'fantasy']",1,9.0,106715,netflix
ts20457,2012,23,"['scifi', 'action', 'drama', 'animation', 'comedy', 'family', 'fantasy']",4,8.4,124910,netflix
ts21503,2012,22,['comedy'],6,7.5,33349,netflix
ts21095,2012,24,"['action', 'scifi', 'horror', 'comedy', 'family', 'fantasy', 'thriller', 'animation', 'crime', 'drama']",5,7.9,11964,netflix
ts27680,2012,59,"['drama', 'romance', 'comedy', 'european']",5,8.4,7694,netflix
ts20433,2012,24,"['animation', 'action', 'thriller', 'comedy', 'drama', 'fantasy', 'horror']",5,8.5,26839,netflix
ts20429,2012,23,"['scifi', 'action', 'drama', 'animation', 'thriller', 'fantasy', 'comedy', 'romance']",4,7.5,47535,netflix
ts83043,2011,42,['reality'],8,7.7,226,netflix
ts34737,2011,42,"['drama', 'thriller', 'action', 'crime']",3,8.0,2445,netflix
ts20500,2012,45,"['drama', 'crime', 'comedy']",3,7.9,30686,netflix
ts20458,2012,18,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation', 'european']",16,7.4,5649,netflix
ts9794,2012,17,"['comedy', 'family', 'animation']",11,8.0,13013,netflix
ts33338,2011,48,"['drama', 'thriller', 'crime', 'european']",2,8.4,27390,netflix
ts36647,2012,40,"['drama', 'comedy', 'european']",5,8.1,8718,netflix
ts32561,2011,45,"['comedy', 'drama', 'romance']",1,6.8,169,netflix
ts27835,2012,22,['documentation'],10,7.6,1573,netflix
ts34151,2011,25,"['scifi', 'action', 'comedy', 'crime', 'animation']",2,7.2,1131,netflix
ts27468,2012,22,"['scifi', 'action', 'comedy', 'family', 'animation']",4,6.6,984,netflix
ts34552,2011,22,['comedy'],2,6.6,508,netflix
ts9246,2011,24,"['action', 'comedy', 'scifi', 'drama', 'family', 'animation', 'fantasy', 'horror']",2,7.4,13844,netflix
ts39093,2012,23,['drama'],4,6.9,2921,netflix
ts18551,2012,27,"['comedy', 'drama', 'european']",5,5.9,20,netflix
ts22249,2012,24,"['comedy', 'animation', 'sport']",3,8.3,9610,netflix
ts6879,2012,43,['drama'],2,8.5,831,netflix
ts128422,2012,16,['drama'],3,6.6,305,netflix
ts158608,2012,45,['reality'],5,7.9,43,netflix
ts21081,2012,44,"['drama', 'crime', 'history', 'thriller']",1,8.4,5325,netflix
ts32460,2011,43,"['comedy', 'drama', 'family']",1,6.9,117,netflix
ts55532,2012,16,"['animation', 'european']",6,8.2,23,netflix
ts27586,2012,24,"['action', 'scifi', 'comedy', 'fantasy', 'animation']",3,7.8,4294,netflix
ts44064,2011,46,"['comedy', 'drama', 'romance']",1,6.5,114,netflix
ts19779,2012,7,"['animation', 'comedy', 'family']",7,7.4,2139,netflix
ts167724,2012,25,['comedy'],3,7.6,94,netflix
ts35426,2011,3,"['animation', 'european']",3,5.0,37,netflix
ts45996,2012,44,"['reality', 'documentation']",9,7.4,264,netflix
ts27875,2012,6,"['animation', 'family']",2,6.3,100,netflix
ts191698,2011,6,"['music', 'animation', 'family']",4,6.4,108,netflix
ts69208,2012,45,['drama'],1,7.4,132,netflix
ts33349,2011,14,"['animation', 'comedy', 'family', 'fantasy']",4,6.0,134,netflix
ts39112,2011,16,"['action', 'animation', 'comedy', 'family', 'fantasy']",3,5.9,16,netflix
ts81858,2011,2,"['comedy', 'family', 'animation', 'thriller', 'drama', 'horror']",5,7.1,696,netflix
ts26776,2012,22,"['action', 'scifi', 'family', 'fantasy', 'animation', 'comedy']",2,6.2,433,netflix
ts58528,2011,43,['reality'],8,7.2,47,netflix
ts37864,2011,47,"['drama', 'history', 'romance']",1,6.9,174,netflix
ts60663,2011,44,"['family', 'drama']",1,0.0,0,netflix
ts16586,2011,43,"['action', 'crime', 'drama']",3,8.6,1425,netflix
ts39465,2012,44,"['drama', 'romance', 'comedy']",1,6.7,17,netflix
ts41114,2011,44,['drama'],1,7.9,10,netflix
ts99814,2011,14,"['animation', 'comedy']",1,8.2,722,netflix
ts11188,2014,42,"['scifi', 'drama', 'action']",9,7.5,351348,netflix
ts1639,2013,43,"['drama', 'crime', 'thriller']",10,8.0,255144,netflix
ts20682,2013,23,"['horror', 'animation', 'action', 'drama', 'fantasy', 'scifi']",4,9.0,325381,netflix
ts20837,2014,60,"['drama', 'scifi', 'fantasy', 'romance']",6,8.4,163090,netflix
ts20110,2013,58,"['drama', 'crime', 'european']",6,8.8,567949,netflix
ts20351,2014,65,"['reality', 'romance', 'european']",16,6.2,2246,netflix
ts8146,2014,42,"['drama', 'action', 'scifi']",7,7.6,257437,netflix
ts16045,2014,42,"['reality', 'romance']",9,6.6,2690,netflix
