id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts20945,1934,19,"['comedy', 'family']",26,8.5,1149,amazon
ts37076,1950,30,['comedy'],21,8.6,1529,amazon
ts55748,1950,30,"['reality', 'family']",18,8.5,1658,amazon
ts224955,1935,20,[],1,0.0,0,amazon
ts3386,1961,51,"['scifi', 'action', 'crime', 'romance', 'thriller', 'comedy']",8,8.3,8195,amazon
ts42867,1968,28,"['family', 'fantasy', 'music']",31,8.7,9043,amazon
ts3948,1972,29,['comedy'],6,8.1,6171,amazon
ts22147,1965,25,"['scifi', 'comedy', 'family', 'fantasy']",5,7.4,16298,amazon
ts5480,1979,29,"['comedy', 'family']",7,7.1,3700,amazon
ts7329,1975,29,"['comedy', 'drama']",8,8.3,6525,amazon
ts938,1976,52,"['action', 'crime', 'drama']",5,6.5,13298,amazon
ts21048,1975,25,['comedy'],11,7.5,9865,amazon
ts30627,1970,22,"['comedy', 'animation', 'family', 'music']",1,6.2,2177,amazon
ts21049,1970,28,['comedy'],7,8.2,9326,amazon
ts14548,1966,24,"['drama', 'scifi', 'fantasy', 'horror', 'romance', 'thriller']",12,8.1,4981,amazon
ts22579,1965,50,"['scifi', 'comedy', 'family', 'fantasy']",3,5.4,8,amazon
ts21973,1964,59,"['drama', 'war']",3,8.1,1269,amazon
ts3638,1978,26,"['comedy', 'drama', 'family']",8,6.6,11738,amazon
ts21163,1979,60,"['action', 'drama', 'romance', 'crime']",5,6.6,8121,amazon
ts21132,1958,26,"['western', 'action']",3,8.0,2511,amazon
ts46032,1968,50,['documentation'],23,8.4,263,amazon
ts22096,1968,30,['comedy'],6,6.9,1668,amazon
ts21689,1974,60,['documentation'],50,8.7,2869,amazon
ts36428,1970,30,"['family', 'comedy', 'music']",4,6.5,4338,amazon
ts21930,1971,23,"['action', 'scifi', 'animation', 'comedy', 'crime']",6,7.9,2252,amazon
ts21125,1975,55,"['drama', 'action', 'crime']",4,7.0,9706,amazon
ts20459,1972,30,['comedy'],6,7.9,9945,amazon
ts212799,1958,26,['action'],1,7.1,130,amazon
ts238,1976,52,['drama'],2,8.3,1449,amazon
ts21412,1960,51,['drama'],4,7.7,1800,amazon
ts36323,1976,53,['comedy'],1,7.7,18,amazon
ts20690,1962,30,['comedy'],6,7.2,2941,amazon
ts13300,1953,30,"['comedy', 'family']",11,7.1,1147,amazon
ts28251,1956,9,"['animation', 'fantasy', 'comedy', 'family']",2,7.0,1537,amazon
ts15301,1978,63,"['drama', 'history']",1,7.7,241,amazon
ts950,1952,27,['action'],1,7.1,119,amazon
ts6953,1958,30,"['comedy', 'family']",8,7.4,1732,amazon
ts34453,1980,33,['comedy'],2,6.7,367,amazon
ts5220,1952,30,"['comedy', 'family', 'drama']",14,7.4,1449,amazon
ts70446,1978,25,"['scifi', 'action']",1,7.3,189,amazon
ts13111,1965,60,"['western', 'drama']",4,7.6,3148,amazon
ts22764,1960,30,"['western', 'drama', 'action']",1,8.1,246,amazon
ts17223,1980,57,['documentation'],2,9.1,301,amazon
ts21141,1958,28,"['action', 'western']",1,7.9,413,amazon
ts17884,1980,28,['family'],1,7.4,108,amazon
ts3622,1967,30,"['scifi', 'fantasy', 'comedy']",3,6.4,2592,amazon
ts131586,1980,24,"['action', 'drama', 'sport', 'animation']",1,8.9,598,amazon
ts3277,1956,55,"['documentation', 'war']",1,7.6,39,amazon
ts184102,1972,45,"['drama', 'war']",1,4.9,140,amazon
ts132526,1954,14,['documentation'],1,8.1,141,amazon
ts20030,1982,30,"['comedy', 'drama']",8,7.8,7160,amazon
ts20031,1982,54,"['drama', 'comedy', 'thriller', 'action', 'crime', 'romance', 'documentation']",5,7.2,9123,amazon
ts21396,1990,21,"['comedy', 'family', 'european']",3,8.6,123198,amazon
ts5914,1981,58,"['action', 'comedy']",5,7.0,8066,amazon
ts20473,1981,49,"['drama', 'crime']",7,8.2,9540,amazon
ts88551,1989,28,[],1,0.0,0,amazon
ts41693,1989,24,['comedy'],5,8.4,10694,amazon
ts20392,1986,23,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",7,7.6,10301,amazon
ts24751,1983,23,"['action', 'scifi', 'animation', 'family']",3,7.2,765,amazon
ts39067,1983,28,['family'],21,8.4,4839,amazon
ts242,1989,46,"['action', 'crime', 'drama', 'romance']",11,5.3,27179,amazon
ts21715,1984,10,"['animation', 'family', 'fantasy', 'music', 'drama', 'comedy', 'action', 'war']",24,6.5,5528,amazon
ts17762,1989,24,"['animation', 'fantasy', 'drama', 'comedy', 'family']",6,6.6,5,amazon
ts19875,1986,30,['comedy'],8,7.2,6349,amazon
ts6722,1990,23,"['drama', 'comedy', 'family']",5,6.1,8676,amazon
ts28459,1987,43,"['drama', 'war']",1,7.7,561,amazon
ts24149,1990,54,"['drama', 'war', 'comedy', 'action', 'crime', 'european']",3,8.5,14634,amazon
ts2760,1987,10,"['comedy', 'animation', 'family', 'crime', 'european']",13,6.1,1875,amazon
ts22821,1986,8,"['animation', 'comedy', 'family', 'european']",6,7.4,6678,amazon
ts18877,1984,29,"['war', 'comedy', 'history']",9,8.4,25898,amazon
ts9142,1987,22,"['drama', 'romance']",35,3.4,7943,amazon
ts28558,1985,99,"['drama', 'war', 'history']",1,7.0,578,amazon
ts968,1990,22,"['animation', 'comedy', 'family', 'drama']",7,7.2,4666,amazon
ts7296,1985,24,['comedy'],5,6.7,3645,amazon
ts88912,1984,26,[],1,6.8,63,amazon
ts29459,1987,44,['documentation'],53,7.8,382,amazon
ts24463,1990,24,['scifi'],3,0.0,0,amazon
ts28758,1987,23,"['animation', 'comedy', 'family', 'fantasy']",1,6.8,462,amazon
ts672,1986,22,"['drama', 'thriller', 'crime']",1,8.7,278,amazon
ts19439,1989,24,['comedy'],6,7.8,991,amazon
ts28560,1985,24,"['action', 'scifi', 'animation']",1,8.3,193,amazon
ts23297,1989,28,"['comedy', 'drama']",1,7.0,81,amazon
ts1000,1986,29,"['scifi', 'fantasy']",1,7.2,82,amazon
ts22176,1997,44,"['scifi', 'action', 'drama']",10,8.4,90196,amazon
ts21223,1997,22,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'family']",25,7.4,224,amazon
ts20951,1999,19,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",13,8.2,101891,amazon
ts22442,1995,23,"['comedy', 'romance']",5,8.0,16293,amazon
ts28055,1992,58,"['comedy', 'drama', 'romance', 'crime', 'family', 'documentation']",4,7.8,4742,amazon
ts21024,1996,44,"['drama', 'scifi', 'thriller', 'crime', 'comedy']",4,7.5,16237,amazon
ts30735,1993,46,"['drama', 'thriller', 'crime']",12,7.7,14733,amazon
ts21321,1992,32,"['reality', 'comedy', 'animation', 'documentation', 'drama']",33,6.3,28,amazon
ts9583,1998,44,"['drama', 'romance']",6,6.8,42388,amazon
ts20700,1992,23,"['comedy', 'romance']",10,6.7,24071,amazon
ts22121,1998,22,"['comedy', 'romance']",11,7.3,57164,amazon
ts10069,1999,24,"['animation', 'fantasy', 'horror', 'scifi', 'comedy', 'family']",1,7.3,734,amazon
ts29358,2000,24,"['animation', 'comedy', 'scifi', 'horror', 'thriller']",1,8.0,2261,amazon
ts11981,1998,44,"['drama', 'romance']",4,6.9,12189,amazon
ts9612,1997,44,"['drama', 'comedy', 'romance', 'fantasy', 'music']",5,6.9,34498,amazon
