id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts225761,1940,8,"['animation', 'comedy', 'family', 'action']",16,7.7,859,max
ts80171,1929,7,"['comedy', 'family', 'thriller', 'animation']",17,8.8,314,max
ts22230,1969,23,"['comedy', 'family', 'animation', 'crime']",3,7.9,37465,max
ts15523,1960,29,"['comedy', 'animation', 'family']",6,7.5,38178,max
ts22243,1969,51,"['comedy', 'animation', 'family', 'fantasy', 'music']",53,8.1,14391,max
ts20028,1962,30,"['animation', 'comedy', 'scifi', 'family']",3,7.0,22149,max
ts30782,1973,34,"['scifi', 'family', 'animation', 'action']",9,7.2,2687,max
ts21966,1961,11,"['comedy', 'animation', 'family']",4,6.6,10609,max
ts21149,1975,49,"['scifi', 'action', 'drama', 'fantasy', 'family']",3,7.0,9124,max
ts21680,1979,15,"['comedy', 'animation', 'thriller', 'crime', 'family']",6,6.3,4196,max
ts4000,1967,26,"['animation', 'action', 'family', 'fantasy']",1,6.6,738,max
ts22482,1987,25,"['comedy', 'drama', 'family']",8,6.8,60065,max
ts11945,1990,24,"['comedy', 'drama']",6,7.9,137732,max
ts35721,1981,20,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",9,7.2,19406,max
ts1863,1989,24,"['comedy', 'family', 'scifi', 'drama']",9,6.6,28403,max
ts16786,1987,57,"['documentation', 'history']",2,9.2,686,max
ts13095,1987,23,['comedy'],6,7.0,7354,max
ts27809,1988,33,"['reality', 'war', 'comedy', 'drama']",2,7.8,902,max
ts21792,1997,22,"['comedy', 'animation']",26,8.7,378194,max
ts21698,1994,25,"['comedy', 'drama', 'romance']",10,8.9,1013084,max
ts20995,1999,55,"['drama', 'crime']",6,9.2,412547,max
ts20420,1999,45,['drama'],7,8.9,79108,max
ts9245,2000,33,['comedy'],11,8.8,132096,max
ts25314,1998,22,['comedy'],15,8.5,44409,max
ts13503,1992,22,"['family', 'scifi', 'animation', 'action', 'crime', 'drama']",4,9.0,106767,max
ts19648,1994,49,"['drama', 'documentation', 'romance']",15,7.7,10,max
ts22060,1998,30,"['comedy', 'drama', 'romance']",6,7.3,130019,max
ts20952,1993,30,"['comedy', 'family', 'romance']",6,7.0,42131,max
ts3823,2000,12,"['animation', 'comedy']",11,7.7,25772,max
ts9583,1998,44,"['drama', 'romance']",6,6.8,42388,max
ts21707,1997,58,"['drama', 'crime', 'thriller', 'scifi', 'animation']",6,8.7,95985,max
ts20694,1992,25,['comedy'],6,8.5,8781,max
ts4518,1999,17,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",4,8.3,46831,max
