id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts22109,1959,28,"['drama', 'scifi', 'horror', 'thriller', 'fantasy']",5,9.1,85957,paramount
ts21236,1966,50,"['scifi', 'drama', 'action']",3,8.4,86240,paramount
ts20005,1951,30,"['comedy', 'family']",9,8.5,27341,paramount
ts18968,1960,29,"['comedy', 'family']",8,8.4,15615,paramount
ts22170,1955,49,"['western', 'action', 'drama']",20,8.1,7724,paramount
ts20669,1978,25,"['comedy', 'drama']",5,7.7,14382,paramount
ts21682,1974,30,"['comedy', 'history', 'music', 'family', 'thriller', 'scifi']",11,7.5,32,paramount
ts10264,1968,46,['documentation'],46,7.5,4053,paramount
ts17013,1969,25,"['comedy', 'family']",5,6.8,14723,paramount
ts21242,1966,60,"['drama', 'action', 'crime', 'thriller', 'family']",7,7.9,10241,paramount
ts21786,1977,60,"['drama', 'comedy', 'romance']",10,6.2,12262,paramount
ts21050,1970,27,['comedy'],5,7.9,6663,paramount
ts24949,1979,31,"['comedy', 'family']",11,8.1,2427,paramount
ts35764,1973,36,"['drama', 'romance']",50,5.2,6439,paramount
ts20936,1973,24,"['scifi', 'animation', 'drama', 'family', 'action']",2,7.3,7461,paramount
ts21576,1968,51,"['action', 'drama', 'crime']",12,7.4,7418,paramount
ts20904,1954,30,"['action', 'drama', 'family']",19,6.5,3526,paramount
ts32298,1980,22,"['animation', 'family', 'comedy']",2,6.5,2444,paramount
ts21408,1990,52,"['drama', 'crime', 'thriller']",3,8.8,201646,paramount
ts22504,1987,46,"['scifi', 'action', 'drama']",7,8.7,124387,paramount
ts19522,1982,30,"['comedy', 'drama']",11,7.9,57338,paramount
ts2996,1990,47,"['drama', 'romance']",10,6.5,35368,paramount
ts610,1988,55,"['reality', 'documentation', 'crime']",34,7.1,47,paramount
ts10967,1982,27,"['comedy', 'documentation', 'reality', 'drama', 'family']",7,7.2,18837,paramount
ts21057,1985,51,"['action', 'crime', 'drama']",7,7.7,39927,paramount
ts35721,1981,20,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",9,7.2,19406,paramount
ts11887,1990,16,"['comedy', 'family', 'fantasy', 'animation']",1,7.1,1764,paramount
ts21130,1983,23,"['comedy', 'action', 'crime', 'family', 'scifi', 'animation']",2,6.7,21856,paramount
ts9142,1987,22,"['drama', 'romance']",35,3.4,7943,paramount
ts23259,1989,25,"['western', 'family', 'comedy']",5,7.2,3245,paramount
ts20922,1988,23,"['animation', 'family', 'romance']",3,7.4,137,paramount
ts10536,1989,24,"['comedy', 'animation', 'family', 'fantasy', 'music']",1,7.3,1616,paramount
ts28808,1987,22,"['animation', 'family', 'comedy']",1,6.7,108,paramount
ts5529,1987,49,"['drama', 'crime', 'fantasy', 'romance']",3,7.0,7342,paramount
ts5145,1998,40,"['reality', 'comedy', 'drama', 'scifi']",38,7.9,3755,paramount
ts20951,1999,19,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",13,8.2,101891,paramount
ts1208,1993,25,['comedy'],11,8.2,86909,paramount
ts4430,1999,44,"['drama', 'comedy']",1,8.8,145383,paramount
ts20927,1993,47,"['action', 'drama', 'scifi']",7,8.1,65053,paramount
ts22477,1995,46,"['drama', 'action', 'scifi', 'european']",7,7.8,71283,paramount
ts14789,1996,25,['comedy'],9,7.2,72747,paramount
ts15312,1996,29,['comedy'],28,8.3,47520,paramount
ts18517,2000,47,"['drama', 'crime', 'thriller']",16,7.7,85185,paramount
ts6139,1993,16,"['comedy', 'animation', 'music']",8,7.5,32619,paramount
ts21321,1992,32,"['reality', 'comedy', 'animation', 'documentation', 'drama']",33,6.3,28,paramount
ts14922,1992,23,"['drama', 'scifi', 'thriller', 'family', 'fantasy', 'horror']",7,8.2,15381,paramount
ts21293,1991,19,"['animation', 'scifi', 'comedy', 'family', 'drama']",5,7.5,23647,paramount
ts4743,1991,17,"['scifi', 'action', 'thriller', 'drama', 'animation']",3,7.8,6596,paramount
ts10069,1999,24,"['animation', 'fantasy', 'horror', 'scifi', 'comedy', 'family']",1,7.3,734,paramount
ts21011,1996,30,"['scifi', 'comedy', 'family', 'fantasy']",7,6.7,40175,paramount
ts6236,2000,43,['reality'],24,5.5,10811,paramount
ts21315,1991,21,"['animation', 'family', 'comedy']",10,7.5,36294,paramount
ts22338,1995,58,"['action', 'drama', 'crime', 'thriller']",10,6.6,18965,paramount
ts20687,1992,47,"['drama', 'romance']",7,5.9,12577,paramount
ts8829,1997,23,"['comedy', 'romance', 'animation', 'drama']",5,8.1,25906,paramount
ts21080,1996,24,"['comedy', 'animation', 'drama', 'family']",5,7.6,34661,paramount
ts12767,1996,25,"['animation', 'comedy', 'family']",7,6.9,6187,paramount
ts20921,1993,24,"['action', 'scifi', 'animation', 'romance', 'comedy', 'family', 'war', 'fantasy', 'thriller']",3,6.8,5266,paramount
ts21555,2000,22,"['comedy', 'reality', 'action']",3,7.3,26334,paramount
ts22438,1999,23,['comedy'],3,8.1,6289,paramount
ts20929,1993,25,"['reality', 'family', 'history']",4,8.1,3739,paramount
ts11397,1993,22,"['scifi', 'action', 'comedy', 'western', 'family', 'animation', 'fantasy']",4,6.2,4035,paramount
ts46067,1999,22,"['action', 'comedy', 'family', 'animation', 'scifi', 'fantasy', 'thriller', 'music']",1,6.1,3025,paramount
ts27693,1996,25,"['family', 'comedy']",4,7.8,16037,paramount
ts17517,1994,18,"['comedy', 'scifi', 'family', 'fantasy', 'horror', 'thriller', 'animation']",4,7.2,11968,paramount
ts20958,1993,20,"['scifi', 'animation', 'comedy', 'family']",4,7.9,20933,paramount
ts18044,1996,44,"['drama', 'family', 'romance', 'comedy']",11,5.2,26046,paramount
ts25185,1991,27,"['drama', 'comedy', 'family', 'romance']",2,8.3,5800,paramount
ts15493,1991,24,['comedy'],1,0.0,0,paramount
