id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts225761,1940,8,"['animation', 'comedy', 'family', 'action']",16,7.7,859
ts80171,1929,7,"['comedy', 'family', 'thriller', 'animation']",17,8.8,314
ts22230,1969,23,"['comedy', 'family', 'animation', 'crime']",3,7.9,37465
ts15523,1960,29,"['comedy', 'animation', 'family']",6,7.5,38178
ts22243,1969,51,"['comedy', 'animation', 'family', 'fantasy', 'music']",53,8.1,14391
ts20028,1962,30,"['animation', 'comedy', 'scifi', 'family']",3,7.0,22149
ts30782,1973,34,"['scifi', 'family', 'animation', 'action']",9,7.2,2687
ts21966,1961,11,"['comedy', 'animation', 'family']",4,6.6,10609
ts21149,1975,49,"['scifi', 'action', 'drama', 'fantasy', 'family']",3,7.0,9124
ts21680,1979,15,"['comedy', 'animation', 'thriller', 'crime', 'family']",6,6.3,4196
ts4000,1967,26,"['animation', 'action', 'family', 'fantasy']",1,6.6,738
ts22482,1987,25,"['comedy', 'drama', 'family']",8,6.8,60065
ts11945,1990,24,"['comedy', 'drama']",6,7.9,137732
ts35721,1981,20,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",9,7.2,19406
ts1863,1989,24,"['comedy', 'family', 'scifi', 'drama']",9,6.6,28403
ts16786,1987,57,"['documentation', 'history']",2,9.2,686
ts13095,1987,23,['comedy'],6,7.0,7354
ts27809,1988,33,"['reality', 'war', 'comedy', 'drama']",2,7.8,902
ts21792,1997,22,"['comedy', 'animation']",26,8.7,378194
ts21698,1994,25,"['comedy', 'drama', 'romance']",10,8.9,1013084
ts20995,1999,55,"['drama', 'crime']",6,9.2,412547
ts20420,1999,45,['drama'],7,8.9,79108
ts9245,2000,33,['comedy'],11,8.8,132096
ts25314,1998,22,['comedy'],15,8.5,44409
ts13503,1992,22,"['family', 'scifi', 'animation', 'action', 'crime', 'drama']",4,9.0,106767
ts19648,1994,49,"['drama', 'documentation', 'romance']",15,7.7,10
ts22060,1998,30,"['comedy', 'drama', 'romance']",6,7.3,130019
ts20952,1993,30,"['comedy', 'family', 'romance']",6,7.0,42131
ts3823,2000,12,"['animation', 'comedy']",11,7.7,25772
ts9583,1998,44,"['drama', 'romance']",6,6.8,42388
ts21707,1997,58,"['drama', 'crime', 'thriller', 'scifi', 'animation']",6,8.7,95985
ts20694,1992,25,['comedy'],6,8.5,8781
ts4518,1999,17,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",4,8.3,46831
ts22437,1995,28,['comedy'],4,8.4,10071
ts21294,1991,28,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7,6.5,15124
ts21692,1994,17,"['comedy', 'animation', 'scifi', 'family']",12,7.9,7386
ts13510,1999,22,"['action', 'scifi', 'thriller', 'animation', 'crime', 'drama']",3,6.4,173
ts22387,1998,45,"['scifi', 'action', 'fantasy']",1,6.2,4886
ts20698,1992,23,"['comedy', 'drama', 'romance', 'family']",6,7.5,9977
ts21766,1997,27,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",3,8.1,8579
ts36446,1995,60,['sport'],29,7.7,415
ts20924,1993,24,['comedy'],5,7.6,5949
ts6190,1999,18,"['animation', 'family', 'comedy']",6,7.5,38710
ts22135,1998,20,"['animation', 'action', 'family', 'fantasy', 'scifi', 'comedy']",7,7.3,44038
ts6589,1996,16,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",4,7.9,47163
ts20850,1999,23,"['comedy', 'drama', 'animation', 'family']",4,8.2,10564
ts20926,1993,46,"['drama', 'scifi', 'action', 'comedy', 'romance']",4,6.7,24884
ts21965,1997,12,"['comedy', 'music']",1,8.1,3705
ts28806,1995,16,"['comedy', 'crime', 'family', 'animation']",5,7.0,4936
ts17283,1996,26,"['comedy', 'sport']",7,7.1,1511
ts22388,1995,22,['comedy'],5,7.3,5336
ts20906,1996,21,"['scifi', 'action', 'animation', 'drama', 'family']",4,8.1,16391
ts21561,2000,12,"['action', 'crime', 'scifi', 'animation', 'comedy']",4,8.0,11797
ts22133,1998,53,"['action', 'drama', 'history', 'thriller']",1,8.6,12494
ts21035,2000,21,"['animation', 'action', 'family', 'scifi', 'crime', 'drama']",4,7.3,6255
ts20962,2000,11,"['animation', 'scifi', 'comedy']",5,7.9,8116
ts29302,1995,28,"['comedy', 'documentation']",5,8.0,325
ts8790,1997,27,"['comedy', 'music']",4,6.9,774
ts253,2000,11,"['comedy', 'animation', 'scifi']",3,7.1,4040
ts15128,1999,26,"['animation', 'family']",2,8.5,364
ts1656,1994,50,['documentation'],2,0.0,0
ts20701,1992,22,"['comedy', 'family', 'sport']",5,6.4,3379
ts21061,1996,23,['comedy'],5,6.7,3421
ts22251,1995,22,"['reality', 'comedy', 'documentation']",5,7.9,28
ts22317,1995,22,['comedy'],5,6.9,1198
ts38855,1995,27,"['animation', 'drama', 'horror', 'fantasy', 'thriller', 'comedy', 'family']",3,6.8,743
ts12,2007,20,"['comedy', 'romance']",12,8.2,820662
ts22047,2002,59,"['drama', 'crime', 'thriller']",5,9.3,346806
ts20536,2008,48,"['scifi', 'drama', 'thriller']",5,8.4,246148
ts6410,2005,49,"['family', 'drama', 'scifi', 'european']",14,8.6,229244
ts17149,2001,59,"['drama', 'war', 'history', 'action']",1,9.4,477321
ts20371,2002,58,"['comedy', 'reality', 'european', 'music']",33,8.7,120892
ts6457,2007,43,"['comedy', 'drama', 'action']",5,8.2,134647
ts14772,2010,56,"['drama', 'history', 'crime']",5,8.6,192784
ts21218,2008,44,"['drama', 'crime', 'thriller']",7,8.1,188659
ts21247,2009,42,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8,7.7,327550
ts13023,2004,53,"['western', 'drama', 'crime', 'history']",3,8.6,109883
ts20566,2008,54,"['scifi', 'drama', 'fantasy', 'horror', 'romance', 'thriller']",7,7.6,149
ts22363,2005,54,"['action', 'drama', 'romance', 'war', 'history', 'european']",2,8.7,174789
ts2158,2009,28,"['comedy', 'drama', 'sport']",4,8.3,59737
ts10095,2010,13,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",10,8.6,98833
ts22236,2007,46,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",2,8.4,57775
