id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts300399,1945,51,['documentation'],1,0.0,0
ts22164,1969,30,"['comedy', 'european']",4,8.8,75654
ts45948,1972,43,['comedy'],1,8.1,2199
ts20681,1989,24,['comedy'],9,8.9,326487
ts21715,1984,10,"['animation', 'family', 'fantasy', 'music', 'drama', 'comedy', 'action', 'war']",24,6.5,5528
ts2760,1987,10,"['comedy', 'animation', 'family', 'crime', 'european']",13,6.1,1875
ts987,1981,14,"['animation', 'comedy', 'family', 'scifi', 'action', 'european']",10,7.4,3678
ts20981,2000,48,['reality'],44,7.5,25709
ts20339,1999,23,"['action', 'comedy', 'animation', 'scifi', 'fantasy', 'drama']",21,8.9,133488
ts21223,1997,22,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'family']",25,7.4,224
ts21567,2000,46,"['comedy', 'drama']",8,8.2,131967
ts34435,1998,25,"['scifi', 'western', 'action', 'thriller', 'animation', 'comedy', 'drama']",1,8.9,123834
ts20983,1995,24,"['scifi', 'animation', 'action', 'fantasy', 'thriller', 'drama']",1,8.5,73413
ts21321,1992,32,"['reality', 'comedy', 'animation', 'documentation', 'drama']",33,6.3,28
ts20960,1993,22,"['action', 'scifi', 'family', 'fantasy', 'animation']",29,6.5,23091
ts6236,2000,43,['reality'],24,5.5,10811
ts22193,1994,26,"['animation', 'comedy', 'family', 'fantasy', 'scifi']",4,7.8,10291
ts21034,2000,25,"['animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'scifi']",9,7.9,16790
ts25252,1998,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7,7.3,21954
ts11397,1993,22,"['scifi', 'action', 'comedy', 'western', 'family', 'animation', 'fantasy']",4,6.2,4035
ts27693,1996,25,"['family', 'comedy']",4,7.8,16037
ts21581,2000,21,"['drama', 'comedy']",8,7.4,4715
ts22039,1998,25,['comedy'],4,7.4,1803
ts16919,1994,24,"['comedy', 'family', 'music']",11,7.5,7913
ts21684,1994,45,"['drama', 'romance']",7,7.8,3341
ts25249,1998,20,"['family', 'fantasy', 'music', 'comedy', 'european']",10,8.0,165
ts22286,1998,25,"['scifi', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation']",4,8.0,5234
ts28516,2000,40,"['drama', 'crime']",1,9.0,2630
ts20918,1999,19,['comedy'],5,6.9,2486
ts20939,1996,21,"['drama', 'family', 'comedy']",6,5.8,3899
ts21693,1994,22,"['comedy', 'drama', 'family']",6,6.3,13054
ts8570,1992,29,"['comedy', 'family']",14,3.9,7883
ts251477,1991,18,['reality'],12,0.0,0
ts224786,1991,44,['drama'],1,0.0,0
ts4,2008,48,"['drama', 'comedy', 'crime', 'thriller']",5,9.5,1936461
ts9,2010,46,"['action', 'drama', 'horror', 'thriller']",11,8.1,1013253
ts21469,2005,48,"['drama', 'romance']",19,7.6,316260
ts17156,2003,28,['comedy'],5,8.7,309568
ts8308,2009,23,['comedy'],6,8.5,271794
ts22337,2003,43,"['thriller', 'comedy', 'action', 'crime', 'drama']",20,7.7,137745
ts3371,2005,24,"['animation', 'action', 'family', 'fantasy']",3,9.3,324247
ts21465,2005,45,"['drama', 'scifi', 'thriller', 'fantasy', 'horror']",15,8.4,453184
ts20371,2002,58,"['comedy', 'reality', 'european', 'music']",33,8.7,120892
ts288536,2010,58,"['reality', 'european']",13,8.6,11204
ts20604,2006,43,"['drama', 'sport']",5,8.7,68182
ts20573,2006,25,"['comedy', 'european']",5,8.5,155675
ts5716,2001,48,"['reality', 'family', 'action']",34,7.8,14888
ts22011,2007,44,"['drama', 'family']",16,8.5,17597
ts11313,2006,24,"['animation', 'drama', 'fantasy', 'thriller', 'crime']",1,9.0,334730
ts31787,2004,23,"['drama', 'crime', 'thriller', 'animation']",1,8.7,33682
ts20305,2002,23,"['action', 'scifi', 'comedy', 'animation', 'fantasy', 'thriller']",6,8.4,107461
ts34569,2007,22,"['animation', 'thriller', 'scifi', 'horror', 'fantasy']",1,8.3,2437
ts17942,2003,21,"['comedy', 'music']",3,8.8,66715
ts327,2010,46,"['scifi', 'documentation', 'fantasy', 'history']",19,8.1,21
ts31263,2001,47,['reality'],5,7.7,1269
ts15349,2010,46,"['reality', 'documentation']",31,7.0,7997
ts12787,2006,24,"['scifi', 'action', 'animation', 'drama', 'thriller', 'war', 'fantasy']",3,8.7,62367
ts20640,2009,25,"['reality', 'comedy', 'documentation', 'drama']",21,7.2,17171
ts21511,2010,22,"['comedy', 'scifi', 'animation', 'drama', 'music', 'family', 'fantasy']",9,7.7,21497
ts29186,2006,23,"['reality', 'drama', 'music']",6,3.7,11389
ts6644,2010,58,"['drama', 'european']",4,8.5,27693
ts21544,2010,22,"['action', 'scifi', 'animation', 'comedy', 'drama', 'family']",4,7.9,7180
ts22018,2007,26,"['family', 'comedy', 'romance']",6,6.7,41021
ts22456,2004,25,"['comedy', 'family']",3,7.4,18499
ts27541,2005,51,['documentation'],24,0.0,0
ts31820,2004,23,"['reality', 'drama']",4,4.8,3917
