,id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
558,ts22109,1959,28,"['drama', 'scifi', 'horror', 'thriller', 'fantasy']",5.0,9.1,85957.0
560,ts21236,1966,50,"['scifi', 'drama', 'action']",3.0,8.4,86240.0
562,ts20005,1951,30,"['comedy', 'family']",9.0,8.5,27341.0
565,ts18968,1960,29,"['comedy', 'family']",8.0,8.4,15615.0
567,ts22170,1955,49,"['western', 'action', 'drama']",20.0,8.1,7724.0
568,ts20669,1978,25,"['comedy', 'drama']",5.0,7.7,14382.0
571,ts21682,1974,30,"['comedy', 'history', 'music', 'family', 'thriller', 'scifi']",11.0,7.5,32.0
572,ts10264,1968,46,['documentation'],46.0,7.5,4053.0
582,ts17013,1969,25,"['comedy', 'family']",5.0,6.8,14723.0
584,ts21242,1966,60,"['drama', 'action', 'crime', 'thriller', 'family']",7.0,7.9,10241.0
594,ts21786,1977,60,"['drama', 'comedy', 'romance']",10.0,6.2,12262.0
596,ts21050,1970,27,['comedy'],5.0,7.9,6663.0
630,ts24949,1979,31,"['comedy', 'family']",11.0,8.1,2427.0
632,ts35764,1973,36,"['drama', 'romance']",50.0,5.2,6439.0
641,ts20936,1973,24,"['scifi', 'animation', 'drama', 'family', 'action']",2.0,7.3,7461.0
653,ts21576,1968,51,"['action', 'drama', 'crime']",12.0,7.4,7418.0
704,ts20904,1954,30,"['action', 'drama', 'family']",19.0,6.5,3526.0
758,ts32298,1980,22,"['animation', 'family', 'comedy']",2.0,6.5,2444.0
905,ts21408,1990,52,"['drama', 'crime', 'thriller']",3.0,8.8,201646.0
906,ts22504,1987,46,"['scifi', 'action', 'drama']",7.0,8.7,124387.0
907,ts19522,1982,30,"['comedy', 'drama']",11.0,7.9,57338.0
913,ts2996,1990,47,"['drama', 'romance']",10.0,6.5,35368.0
918,ts610,1988,55,"['reality', 'documentation', 'crime']",34.0,7.1,47.0
922,ts10967,1982,27,"['comedy', 'documentation', 'reality', 'drama', 'family']",7.0,7.2,18837.0
927,ts21057,1985,51,"['action', 'crime', 'drama']",7.0,7.7,39927.0
935,ts35721,1981,20,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",9.0,7.2,19406.0
939,ts11887,1990,16,"['comedy', 'family', 'fantasy', 'animation']",1.0,7.1,1764.0
961,ts21130,1983,23,"['comedy', 'action', 'crime', 'family', 'scifi', 'animation']",2.0,6.7,21856.0
965,ts9142,1987,22,"['drama', 'romance']",35.0,3.4,7943.0
980,ts23259,1989,25,"['western', 'family', 'comedy']",5.0,7.2,3245.0
987,ts20922,1988,23,"['animation', 'family', 'romance']",3.0,7.4,137.0
1012,ts10536,1989,24,"['comedy', 'animation', 'family', 'fantasy', 'music']",1.0,7.3,1616.0
1018,ts28808,1987,22,"['animation', 'family', 'comedy']",1.0,6.7,108.0
1041,ts5529,1987,49,"['drama', 'crime', 'fantasy', 'romance']",3.0,7.0,7342.0
1063,ts5145,1998,40,"['reality', 'comedy', 'drama', 'scifi']",38.0,7.9,3755.0
1064,ts20951,1999,19,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",13.0,8.2,101891.0
1065,ts1208,1993,25,['comedy'],11.0,8.2,86909.0
1066,ts4430,1999,44,"['drama', 'comedy']",1.0,8.8,145383.0
1067,ts20927,1993,47,"['action', 'drama', 'scifi']",7.0,8.1,65053.0
1073,ts22477,1995,46,"['drama', 'action', 'scifi', 'european']",7.0,7.8,71283.0
1074,ts14789,1996,25,['comedy'],9.0,7.2,72747.0
1075,ts15312,1996,29,['comedy'],28.0,8.3,47520.0
1078,ts18517,2000,47,"['drama', 'crime', 'thriller']",16.0,7.7,85185.0
1082,ts6139,1993,16,"['comedy', 'animation', 'music']",8.0,7.5,32619.0
1096,ts21321,1992,32,"['reality', 'comedy', 'animation', 'documentation', 'drama']",33.0,6.3,28.0
1100,ts14922,1992,23,"['drama', 'scifi', 'thriller', 'family', 'fantasy', 'horror']",7.0,8.2,15381.0
1101,ts21293,1991,19,"['animation', 'scifi', 'comedy', 'family', 'drama']",5.0,7.5,23647.0
1104,ts4743,1991,17,"['scifi', 'action', 'thriller', 'drama', 'animation']",3.0,7.8,6596.0
1107,ts10069,1999,24,"['animation', 'fantasy', 'horror', 'scifi', 'comedy', 'family']",1.0,7.3,734.0
1109,ts21011,1996,30,"['scifi', 'comedy', 'family', 'fantasy']",7.0,6.7,40175.0
1110,ts6236,2000,43,['reality'],24.0,5.5,10811.0
1113,ts21315,1991,21,"['animation', 'family', 'comedy']",10.0,7.5,36294.0
1117,ts22338,1995,58,"['action', 'drama', 'crime', 'thriller']",10.0,6.6,18965.0
1119,ts20687,1992,47,"['drama', 'romance']",7.0,5.9,12577.0
1120,ts8829,1997,23,"['comedy', 'romance', 'animation', 'drama']",5.0,8.1,25906.0
1123,ts21080,1996,24,"['comedy', 'animation', 'drama', 'family']",5.0,7.6,34661.0
1127,ts12767,1996,25,"['animation', 'comedy', 'family']",7.0,6.9,6187.0
1128,ts20921,1993,24,"['action', 'scifi', 'animation', 'romance', 'comedy', 'family', 'war', 'fantasy', 'thriller']",3.0,6.8,5266.0
1130,ts21555,2000,22,"['comedy', 'reality', 'action']",3.0,7.3,26334.0
1134,ts22438,1999,23,['comedy'],3.0,8.1,6289.0
1139,ts20929,1993,25,"['reality', 'family', 'history']",4.0,8.1,3739.0
1146,ts11397,1993,22,"['scifi', 'action', 'comedy', 'western', 'family', 'animation', 'fantasy']",4.0,6.2,4035.0
1150,ts46067,1999,22,"['action', 'comedy', 'family', 'animation', 'scifi', 'fantasy', 'thriller', 'music']",1.0,6.1,3025.0
1158,ts27693,1996,25,"['family', 'comedy']",4.0,7.8,16037.0
1162,ts17517,1994,18,"['comedy', 'scifi', 'family', 'fantasy', 'horror', 'thriller', 'animation']",4.0,7.2,11968.0
1167,ts20958,1993,20,"['scifi', 'animation', 'comedy', 'family']",4.0,7.9,20933.0
1172,ts18044,1996,44,"['drama', 'family', 'romance', 'comedy']",11.0,5.2,26046.0
1173,ts25185,1991,27,"['drama', 'comedy', 'family', 'romance']",2.0,8.3,5800.0
1175,ts15493,1991,24,['comedy'],1.0,,
1176,ts13984,2000,26,"['action', 'family', 'animation', 'comedy', 'fantasy']",8.0,4.2,6941.0
1177,ts22120,1998,24,"['animation', 'action', 'comedy', 'family', 'fantasy']",5.0,6.6,15112.0
1180,ts22283,1999,24,"['comedy', 'family', 'sport', 'animation', 'action']",3.0,6.8,9910.0
1181,ts26918,1994,20,"['crime', 'family', 'animation', 'action', 'comedy']",4.0,7.2,2034.0
1184,ts16919,1994,24,"['comedy', 'family', 'music']",11.0,7.5,7913.0
1185,ts2070,1997,17,"['comedy', 'family', 'animation']",5.0,7.2,15248.0
1187,ts21669,1994,47,"['scifi', 'fantasy', 'drama', 'family']",9.0,6.0,7447.0
1188,ts6600,1991,24,"['animation', 'comedy', 'drama', 'family', 'fantasy']",8.0,7.4,19367.0
1192,ts11988,1991,28,"['comedy', 'family']",5.0,7.1,9234.0
1197,ts16650,1998,21,"['comedy', 'sport', 'animation', 'action']",6.0,6.9,11528.0
1198,ts11783,1998,20,"['animation', 'comedy', 'family']",3.0,6.5,23763.0
1199,ts4161,1999,11,"['animation', 'crime', 'fantasy', 'comedy', 'family', 'european']",21.0,5.5,4961.0
1202,ts635,1998,24,"['documentation', 'comedy']",15.0,8.0,1166.0
1207,ts20939,1996,21,"['drama', 'family', 'comedy']",6.0,5.8,3899.0
1212,ts21693,1994,22,"['comedy', 'drama', 'family']",6.0,6.3,13054.0
1217,ts13212,1995,23,"['comedy', 'romance']",4.0,6.2,4087.0
1221,ts28755,1995,19,"['action', 'drama', 'family', 'fantasy', 'animation']",5.0,7.3,4150.0
1238,ts16790,2000,27,"['family', 'animation', 'comedy', 'drama', 'music', 'crime']",3.0,6.9,6781.0
1255,ts51481,1996,22,"['comedy', 'family', 'animation']",1.0,8.1,69.0
1256,ts6716,1994,23,['family'],3.0,6.6,347.0
1258,ts14475,1999,23,"['comedy', 'family']",3.0,6.7,7917.0
1266,ts27551,1996,24,"['animation', 'comedy', 'family']",4.0,7.8,2647.0
1268,ts27983,1992,26,['family'],5.0,7.5,618.0
1271,ts36834,2000,23,"['reality', 'music']",19.0,5.1,1832.0
1275,ts39950,2000,21,"['family', 'comedy']",3.0,8.4,245.0
1279,ts39373,1993,23,[],3.0,,
1284,ts70730,1994,22,['family'],4.0,7.4,1304.0
1301,ts1470,2000,24,['documentation'],5.0,8.0,87.0
1302,ts198397,1996,23,"['animation', 'comedy', 'family']",3.0,8.1,717.0
1304,ts6495,2005,44,"['drama', 'thriller', 'crime']",16.0,8.1,204480.0
1305,ts21262,2009,51,['reality'],15.0,8.5,21203.0
1306,ts22337,2003,43,"['thriller', 'comedy', 'action', 'crime', 'drama']",20.0,7.7,137745.0
1307,ts10722,2010,42,"['drama', 'thriller', 'crime']",13.0,7.7,42277.0
1308,ts3371,2005,24,"['animation', 'action', 'family', 'fantasy']",3.0,9.3,324247.0
1309,ts21253,2009,45,"['action', 'drama', 'crime']",14.0,6.8,54784.0
1310,ts21745,2003,20,"['comedy', 'crime']",7.0,7.9,21140.0
1313,ts21230,2009,44,"['drama', 'crime']",7.0,8.4,77687.0
